fact_rating_phase1,snopes_url_phase1,article_title_phase1,article_category_phase1,article_date_phase1,article_claim_phase1,article_origin_url_phase1,index_paragraph_phase1,page_is_first_citation_phase1,error_phase2,original_article_text_phase2,article_title_phase2,publish_date_phase2,author_phase2,Jerry-label,Jill-label,Fatemeh-label,notes,original order,Agreement
Brown and his wife, Gail Huff, have assets worth between about $1 million and $2.3 million - including their home in Wrentham and three Boston rental condos - according to the Associated Press, citing an analysis from the Center for Responsive Politics.","Elizabeth Warrens salary topped $700,000 over two years",1/13/12,Noah Bierman,context,context,context,,1,

mixture,https://www.snopes.com/fact-check/the-company-for-cruelty/,"Animal Testing Resumes for Avon, Mary Kay, and Este Lauder?",Critter Country  Media Matters,31-Mar-15,"Cosmetic companies Avon, Mary Kay and Este Lauder have resumed testing their products on animals after previously abandoning the practice.",http://www.thedogfiles.com/2012/02/27/animal-testing-resumes-for-avon-mary-kay-and-estee-lauder/,3,TRUE,No Error,"As of right now I dont know what kinds of animals they are using.

 Kenn

Animal testing for cosmetics is a hot topic in the beauty industry, with most consumers and many companies deciding to avoid products made with animal testing. After more than two decades following a no testing on animals policy, cosmetics giants Avon, Mary Kay, and Estee Lauder have resumed the practice without letting consumers know. In the late 1980s, PETAs Avon Killing campaign eventually led to the company banning animal testing for their products, with Mary Kay and Este Lauder following suit.

According to a press release from Rush PR, the news was broken after animal rights organization PETA removed the companies from their cruelty-free list after discovering that they had returned to using testing on animals for their products. The three companies began the tests again in order to satisfy regulations from the Chinese government so they could sell their products in China. However, PETA contends that there are alternative testing methods that are just as effective and widely used in the US.

Kathy Guillermo, the Vice President of PETAs Laboratory Investigations was saddened by the move: Avon, Este Lauder, and Mary Kay have regressed a generation: Their products are once again being dripped into rabbits eyes and smeared onto animals abraded skin. Shes urging customers to choose cruelty-free products instead.

Avon spokeswoman Reese Witherspoon may be upset to learn about the new animal testing as well. Late last year she was dismayed to learn a bag she was spotted with was made from real python skin and agreed to throw it away. But perhaps she can use her star power to influence Avon to go back to their animal-friendly ways.","Animal Testing Resumes For Avon, Mary Kay, And Estee Lauder",2/27/12,Kenn Bell,right,right,right,,2,

mixture,https://www.snopes.com/fact-check/hillary-clinton-robert-mueller-uranium/,Did Hillary Clinton Tell FBIs Mueller to Deliver Uranium to Russians in 2009 Secret Tarmac Meeting?,Politics  Conspiracy Theories,21-Jun-17,Then-Secretary of State Clinton ordered then-FBI Director Robert Mueller to deliver highly enriched uranium to the Russians in a secret plane-side meeting in 2009.,https://www.intellihub.com/hillary-clinton-requested-fbi-dir-mueller-deliver-highly-enriched-uranium-russians/,4,TRUE,No Error,"





  Former Secretary of State Hillary Clinton facilitated the transfer a highly enriched uranium (HEU) previously confiscated by the U.S. Department of Energy (DOE) during a 2006 nuclear smuggling sting operation involving one Russian national and several Georgian accomplices, a newly leaked classified cable shows.

So-called background information was provided in the cable which gave vague details on a 2006 nuclear smuggling sting operation in which the U.S. government took possession of some HEU previously owned by the Russians.

The secret action request, dated Aug. 17, 2009, was sent out by Secretary of State Clinton and was addressed to the United States Ambassador to Georgia Embassy Tbilisi, the Russian Embassy, and Ambassador John Beyrle. It proposed that FBI Director Robert Mueller be the one that personally conduct the transfer a 10-gram sample of HEU to Russian law enforcement sources during a secret plane-side meeting on a tarmac in the early fall of 2009.

The FBI Director was originally scheduled to return a sample from the DOE stockpile to the Russians in April but the trip was postponed until September 21.

Paragraph number 6 of the leaked cable confirms Dir. Muellers Sept. 21 flight to Moscow.

(S/Rel Russia) Action request: Embassy Moscow is requested to alert at the highest appropriate level the Russian Federation that FBI Director Mueller plans to deliver the HEU sample once he arrives to Moscow on September 21. Post is requested to convey information in paragraph 5 with regard to chain of custody, and to request details on Russian Federations plan for picking up the material. Embassy is also requested to reconfirm the April 16 understanding from the FSB verbally that we will have no problem with the Russian Ministry of Aviation concerning Muellers September 21 flight clearance.

But possible even more shocking is the fact that the State Department wanted the transfer of the HEU to take place on an airport tarmac which is rather reminisce of the infamous Loretta Lynch/Bill Clinton meeting which occurred on a Phoenix, Arizona, tarmac back in June of 2016.

Past dealings with the Russians were also mentioned in the cable, signifying that previous deals have taken place.

Related:

Via Intellihub

H/T: Tabertronic/Twitter",Hillary Clinton requested FBI Dir. Mueller deliver highly enriched uranium to the Russians in 2009 in secret plane-side tarmac meeting,6/19/17,Shepard Ambellas,right,right,right,,3,

mixture,https://www.snopes.com/fact-check/light-fingered/,Dangers of CFL Mercury Light Bulbs,Medical,02-May-07,Energy-saving light bulbs  release dangerous amounts of mercury when broken.,https://web.archive.org/web/20071003140931/http://www.govlink.org/hazwaste/mercury/lampsCrushing.html,6,TRUE,No Error,"Crushing Lamps

Crushing and breaking fluorescent lamps release mercury vapor and mercury-containing phosphor powder. These can be difficult to contain. Keeping lamps intact until they reach a qualified recycling facility prevents mercury exposure to workers and the environment.

Requirements for recycling intact lamps under the Universal Waste Rule (Washington Administrative Code 173-303-573) are streamlined compared to requirements for managing crushed lamps. Crushing lamps on-site is considered a ""treatment-by-generator"" activity, subject to full regulation under the Dangerous Waste Regulations (Washington Administrative Code 173-303). Crushed lamps must be managed as dangerous waste unless they designate non-dangerous.",Mercury In King County: Crushing Lamps,,Haz.Waste Metrokc.Gov,context,irrelevant,right,,4,fj

mixture,https://www.snopes.com/fact-check/va-hospital-flag-pride/,Did a VA Hospital Replace Military Flags with a Pride Flag?,Politics  Politics,15-Jun-18,A VA hospital removed military flags in order to fly a LGBTQ pride flag.,https://archive.li/3kqSa,1,FALSE,No Error,"This was their response: ""Logistically, we could not add a flag without removing a flag from the poles outside our VA. Rather than single out one military branch's flag to be temporarily replaced with the LGBT flag, we chose to remove all of them for o

ne day in order to show our dedication to serving all Veterans equally."" That is the dumbest bunch of hogwash I have ever heard!!! By removing the service flags of ALL the branches that represent ALL the veterans and replacing it with any flag that singles out one particular group of humans who are part of the veterans then you have actually excluded the rest....if you want to fly one flag to show you represent all veterans EQUALLY then just fly the good ol' Stars and Stripes. It is the only flag that promotes everyone equally. Otherwise, just stick to displaying all the service branch flags and forget about singling out specific groups within the vet community.",Uncle Sam's Misguided Children,6/15/18,,right,context,right,,5,fj

mixture,https://www.snopes.com/fact-check/atf-reclassifies-wetted-nitrocellulose/,ATF Reclassifies Wetted Nitrocellulose as High Explosive,Guns  Politics,01-Sep-16,"The Bureau of Alcohol, Firearms and Tobacco  has reclassified wet nitrocellulose as a high explosive.",http://antoine.frostburg.edu/chem/senese/101/consumer/faq/what-is-cellulose.shtml,3,TRUE,No Error,"Cellulose is a natural polymer, a long chain made by the linking of smaller molecules. The links in the cellulose chain are a type of sugar: -D-glucose. Two unlinked molecules of -D-glucose are pictured at right [1]. The sugar units are linked when water is eliminated by combining the -OH group and H highlighted in gray. Linking just two of these sugars produces a disaccharide called cellobiose [2]. Cellulose is a polysaccharide produced by linking additional sugars in exactly the same way. The length of the chain varies greatly, from a few hundred sugar units in wood pulp to over 6000 for cotton.





The cellulose chain bristles with polar -OH groups. These groups form many hydrogen bonds with OH groups on adjacent chains, bundling the chains together. The chains also pack regularly in places to form hard, stable crystalline regions that give the bundled chains even more stability and strength.

Cellulose is a major component of wood. Cellulose fibers in wood are bound in lignin, a complex polymer. Paper-making involves treating wood pulp with alkalis or bisulfites to disintegrate the lignin, and then pressing the pulp to matte the cellulose fibers together.

Cellulose is found in large amounts in nearly all plants, and is potentially a major food source. Unfortunately, human beings lack the enzymes necessary to cleave the linkages between the sugars in cellulose. In fact, crystallite cellulose is added to some foods to reduce the caloric value.

Notes

Glucose is a six-carbon sugar that comes in two forms with different optical activity. The  form, pictured above, has the hydroxide group on carbon 1 on the same face of the ring as the -CH 2 OH group. The form has the same hydroxide group on the opposite face from the -CH 2 OH group. Sucrose, or table sugar, is the most familiar disaccaride, made by linking the sugars glucose and fructose in a different way.

References and bibliography

C. Dore, The Methods of Cellulose Chemistry, Chapman & Hall, London, 1947. The Merck Index, 8th ed., Merck & Co., Rahway NJ, 1968.",General Chemistry Online: FAQ: Chemistry of everyday life: What is cellulose?,,,context,irrelevant,context,,6,

mixture,https://www.snopes.com/fact-check/dirty-dope/,Does Marijuana Contain More Tar Than Cigarettes?,Medical,11-Mar-15,Marijuana cigarettes deposit four times more tar into smokers' lungs than tobacco-based cigarettes.,http://www.lung.org/associations/states/colorado/tobacco/marijuana.html,3,FALSE,No Error,"The American Lung Association is concerned about the health impacts of marijuana use, especially on lung health. We caution the public against smoking marijuana because of the risks it poses to lung health.

Scientists are researching marijuana now, and the American Lung Association encourages continued research into the effects of marijuana use on lung health.

Marijuana

The health effects of marijuana are determined in large part by how it's consumed. Marijuana is most commonly smoked using pipes, bongs, paper-wrapped joints, blunts and other devices including those that heat or vaporize marijuana. Marijuana can also be consumed through dozens of different products including candy, brownies capsules, beverages and many more.

While this statement focuses on marijuana and lung health, it's important to note that there are other health concerns outside the lungs attributed to marijuana use that are not addressed here, including neurological and cognitive effects.1,2

Additionally, there are significant public health concerns associated with pediatric poisonings caused by accidental ingestion of edible marijuana products.3

Marijuana Smoke

Smoke is harmful to lung health. Whether from burning wood, tobacco or marijuana, toxins and carcinogens are released from the combustion of materials. Smoke from marijuana combustion has been shown to contain many of the same toxins, irritants and carcinogens as tobacco smoke.4-7

Beyond just what's in the smoke alone, marijuana is typically smoked differently than tobacco. Marijuana smokers tend to inhale more deeply and hold their breath longer than cigarette smokers, which leads to a greater exposure per breath to tar.8

Secondhand marijuana smoke contains many of the same toxins and carcinogens found in directly inhaled marijuana smoke, in similar amounts if not more.5 While there is no data on the health consequences of breathing secondhand marijuana smoke, there is concern that it could cause harmful health effects, especially among vulnerable children in the home. Additional research on the health effects of secondhand marijuana smoke is needed.

Lung Health and Marijuana Smoke

Smoking marijuana clearly damages the human lung. Research shows that smoking marijuana causes chronic bronchitis and marijuana smoke has been shown to injure the cell linings of the large airways, which could explain why smoking marijuana leads to symptoms such as chronic cough, phlegm production, wheeze and acute bronchitis.4,9

Smoking marijuana has also been linked to cases of air pockets in between both lungs and between the lungs and the chest wall, as well as large air bubbles in the lungs among young to middle-aged adults, mostly heavy smokers of marijuana. However, it's not possible to establish whether these occur more frequently among marijuana smokers than the general population.4

Smoking marijuana can harm more than just the lungs and respiratory system - it can also affect the immune system and the body's ability to fight disease, especially for those whose immune systems are already weakened from immunosuppressive drugs or diseases, such as HIV infection.4,9

Smoking marijuana hurts the lungs' first line of defense against infection by killing cells that help remove dust and germs as well as causing more mucus to be formed. In addition, it also suppresses the immune system. These effects could lead to an increased risk of lower respiratory tract infections among marijuana smokers, although there is no clear evidence of such actual infections being more common among marijuana smokers.4,9 However, frequent marijuana-only smokers have more healthcare visits for respiratory conditions compared to nonsmokers.10

Studies have shown that smoking marijuana may increase the risk of opportunistic infections among those who are HIV positive, although it does not seem to affect the development of AIDS or lower white cell counts.4,9

Another potential threat to those with weakened immune systems is Aspergillus, a mold that can cause lung disorders. It can grow on marijuana, which if then smoked exposes the lungs to this fungus.4 However, it rarely causes problems in people with healthy immune systems.

Medical Marijuana

The American Lung Association encourages continued research into the health effects of marijuana use, as the benefits, risks and safety of marijuana use for medical purposes require further study. Patients considering using marijuana for medicinal purposes should make this decision in consultation with their doctor, and consider means of administration other than smoking.

Bottom Line

Smoking marijuana clearly damages the human lung, and regular use leads to chronic bronchitis and can cause an immune-compromised person to be more susceptible to lung infections. No one should be exposed to secondhand marijuana smoke. Due to the risks it poses to lung health, the American Lung Association strongly cautions the public against smoking marijuana as well as tobacco products. More research is needed into the effects of marijuana on health, especially lung health.

Updated March 23, 2015

See our public policy position on marijuana and lung health.",Marijuana and Lung Health,,,context,context,context,,7,

mixture,https://www.snopes.com/fact-check/pastor-present-2/,Pastor Disguises Himself as Homeless Man,Glurge Gallery,23-Jul-13,Did a holy man disguise himself as homeless in order to test the compassion of his congregation?,http://bradgerrard.tumblr.com/post/11002307432/i-was-walking-down-the-street-in-richmond-saw,3,FALSE,No Error,"I was walking down the street in Richmond, saw this man talking to someone, could see he was quite a picture in the making. On the way back, when he was free I had a short conversation with the gentleman and he agreed to let me photograph him. I liked the result. He was very friendly. Homeless Man, Ricmond, Surrey. by Brad J Gerrard",Brad J Gerrard Photography,,,context,context,ambiguous,context/irrelevant,8,

mixture,https://www.snopes.com/fact-check/donald-trump-punched-teacher/,Donald Trump Gave His 2nd Grade Music Teacher a Black Eye,Politicians  Politics,19-Aug-16,Donald Trump wrote in 'The Art of the Deal' that he punched out his second grade music teacher.,https://books.google.com/books?id=Ye6e_VxM00kC&pg=PA71&dq=I+actually+gave+a+teacher+a+black+eye.+I+punched+my+music+teacher+because+I+didn%27t+think+he+knew+anything+about+music...+Even+early+on+I+had+a+tendency+to+stand+up+and+make+my+opinions+known+in+a+forceful+way.%C2%A0&hl=en&sa=X&ved=0ahUKEwiRwKHx1c3OAhXM7yYKHQupC48Q6AEIJzAC#v=onepage&q=I%20actually%20gave%20a%20teacher%20a%20black%20eye.%20I%20punched%20my%20music%20teacher%20because%20I%20didn't%20think%20he%20knew%20anything%20about%20music...%20Even%20early%20on%20I%20had%20a%20tendency%20to%20stand%20up%20and%20make%20my%20opinions%20known%20in%20a%20forceful%20way.%C2%A0&f=false,5,TRUE,No Error,"books.google.ca - President Donald J. Trump lays out his professional and personal worldview in this classic worka firsthand account of the rise of Americas foremost deal-maker. I like thinking big. I always have. To me its very simple: If youre going to be thinking anyway, you might as well think big.Donald...

_LINKS_

Trump: The Art of the Deal",Trump: The Art of the Deal,,,right,context,context,context/irrelevant,9,x

mixture,https://www.snopes.com/fact-check/school-shooting-military-deaths/,Which Has Killed More People in 2018: School Shootings or Military Service?,Military  Politics,22-May-18,"So far in 2018, the number of U.S. students killed in school shootings is greater than the number of U.S. military personnel who have been killed on active duty.",https://www.washingtonpost.com/news/politics/wp/2018/05/18/2018-has-been-deadlier-for-schoolchildren-than-service-members/,3,TRUE,No Error,"This article has been corrected.

The school shooting near Houston on Friday bolstered a stunning statistic: More people have been killed at schools this year than have been killed while deployed as members of the military.

Data for military casualties are difficult to ascertain. An original version of this article tallied solely reports of casualties released by the Department of Defense, which indicated that 13 members of the military had been killed while deployed, compared to 27 schoolchildren whod died in five shooting incidents this year involving fatalities.

Put another way: Twice as many students have been killed in school shootings as have members of the military who were on deployment. An additional four adults were killed in school shootings in 2018  but an additional 29 members of the military have died in training accidents.

After our original article ran, Jared Keller, a senior editor at the site Task & Purpose, noted that the Department of Defense releases offered an incomplete picture of service member fatalities. Separate data compiled by the Navy, including the Marines, adds additional casualties to the total. In May, an Air National Guard plane crashed in Georgia killing another nine  an incident not included in the Department of Defenses reports.

The DoD doesnt always present a clear picture of accidental mishap-related deaths due to worries about operational security, hence the trouble with [Public Affairs Office] releases, Keller wrote in an email. Back in March 2017, Secretary of Defense Jim Mattis even cautioned public affairs officials across the military to be cautious about publicly telegraphing readiness shortfalls because communicating that we are broken or not ready to fight invites miscalculation, as his spokesman put it at the time.

On Monday, researcher Zachary Austin sent a more complete set of data about military casualties. Having realized that the Defense Department numbers were incomplete, he began tracking military fatalities separately, tallying 42 this year  including casualties in combat, while deployed and during training exercises. That Air National Guard crash, for example, was during a training exercise.

Comparing all fatalities in school shootings with all military deaths, the latter is higher, contrary to the original headline of this article. In both cases, those totals have been boosted by mass casualty events. In the case of the military, 20 of the fatalities occurred in just three aircraft crashes. In the case of schoolchildren, most of the deaths were in Santa Fe, Tex., last week and the mass shooting in Parkland, Fla. in February.

Austin explained in an email why he started tracking this data.

Last year I helped with research that showed more American troops had died from peacetime causes than wartime incidents since 2014, he wrote. Theres no centralized public database like the DCAS (Defense Casualty Analysis System) for training fatalities, and it was often maddening to track down accurate historical data. So I decided that in 2018, I would follow along day-by-day and identify every American service member killed in uniform throughout the year. Whether in a combat zone or not, they all died for their country.

What the Defense Department reports is those casualties that dont occur during training incidents.

Being a member of the military is still far more dangerous than being a student, of course. There are more than 50 million students in public elementary and high schools and only about 1.3 million members of the armed forces. So far in 2018, a member of the military, deployed or in training, has been more than 50 times as likely to be killed as someone is to die in a school shooting.

That said, 2018 is abnormal. Comparing shootings tallied by The Post with Defense-Department-reported casualties in 2017  that is to say, non-training deaths  at no point were the number of military fatalities higher than the number of people killed in school shootings.

2018 has been more deadly than 2017 for both groups. In fact, 2018 is shaping up to be unusually deadly at schools. Comparing the number of deaths and the number of shooting incidents this year directly with those through May 18 of 2017, that difference is stark.

The number of deaths and school shooting incidents through May 18 are each higher this year than at any point since 2000. There have been three times as many deaths in school shootings so far this year than in the second-most deadly year through May 18, 2005.

In fact, there were 36 fatalities in school shootings in total through May 18 of each year from 2000 to 2017  only slightly more than there have been in 2018 alone.

Without the shootings in Florida and Texas, the figure is substantially lower. In 2000 through 2017, there were an average of two deaths in five or six school shootings through this point in each year. Without Marjory Stoneman Douglas and Santa Fe, the totals in 2018 would be four deaths in 14 shooting incidents.

With them, it is 31 deaths in 16 incidents.",2018 has been deadlier for schoolchildren than deployed service members,5/18/18,,right,context,right,corrected,10,fj

mixture,https://www.snopes.com/fact-check/thousands-muslims-leave-united-states-trumps-election/,Did Thousands of Muslims Leave the United States After Trumps Election?,Fake News,09-Feb-17,Thousands of Muslims voluntarily left the United States after Donald Trump was elected president.,http://news3lv.com/news/local/local-imam-expects-some-muslims-to-leave-us-because-of-political-uncertainty,9,TRUE,No Error,"The spiritual leader to hundreds of practicing Muslims in Las Vegas says he knows some faithful who may leave the country due to political uncertainty.

Fateen Seifullah is the imam at Masjid As Sabur, a mosque near Washington and D Street.

Some of them arent sure, Seifullah said. Should they migrate? Should they leave and go someplace else?

Seifullah spoke to News 3 on Saturday, one week after the executive order that snared some travelers from mostly Muslim countries. A close friend of his was delayed in Boston.

He said, I feel the effects of it already, because it was one of the first times hes ever been singled out for additional checks, Seifullah says.

In the week since, hes dressed in religious Muslim clothing outside of worship. He says its a political statement.

I deliberately dress like this, its in comradery with those women who wear the kemar and the dress that singles them out, says Seifullah.

The U.S. Supreme Court is expected to have the final say on President Donald Trumps executive order. Its a decision that could come, in part, from a new justice chosen by Trump.",Local imam expects some Muslims to leave U.S. because of political uncertainty,,Craig Fiegener,context,context,context,,11,

mixture,https://www.snopes.com/fact-check/did-dea-legalize-synthetic-weed/,Did the Drug Enforcement Administration Legalize Synthetic Marijuana While Keeping the Real Thing Illegal?,Science,30-Nov-17,The DEA recently classified synthetic marijuana as a legally-obtainable Schedule II drug while continuing to list plant-based marijuana as a Schedule I drug with no currently accepted medical use.,https://globenewswire.com/news-release/2016/07/05/853588/0/en/Insys-Therapeutics-Announces-FDA-Approval-of-Syndros.html,3,TRUE,No Error,"PHOENIX, July 05, 2016 (GLOBE NEWSWIRE) -- Insys Therapeutics, Inc. (Insys or the Company) (NASDAQ:INSY) today announced that the U.S. Food and Drug Administration (FDA) has approved Insys dronabinol oral solution, SyndrosTM, an orally administered liquid formulation of the pharmaceutical cannabinoid dronabinol, a pharmaceutical version of tetrahydrocannabinol (""THC""). Syndros is approved for use in treating anorexia associated with weight loss in patients with AIDS, and nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments. Syndros is currently awaiting scheduling by the U.S. Drug Enforcement Administration.



""We are very pleased to announce FDA approval of Syndros. We believe that Syndros will be an important new treatment option for patients suffering from the devastating effects of chemotherapy induced nausea and vomiting, as well as those fighting anorexia associated with weight loss in AIDS, said the Companys Chairman, CEO and President, Dr. John N. Kapoor.

Syndros is the first and only FDA approved dronabinol solution for oral use. It is a liquid that is easy-to-swallow and allows for the dosage to be titrated to clinical effect. Once Syndros has been opened, it does not need to be refrigerated for 28 days. We believe that these product features coupled with patient support services will prove to be important differentiators for patients and prescribers and will be key drivers of a successful market launch and sustained growth. We expect that Syndros attractive profile will enable rapid market conversion and expansion, making for a significant long-term commercial opportunity for Insys, added Dr. Kapoor.

Approximately 9,500 prescribers account for 70% of current dronabinol prescriptions. Insys expects to convert a large portion of the market to Syndros as well as expand the market through direct detailing to physicians, highlighting the improved product profile of Syndros. The Company anticipates launching Syndros in the second half of 2016.

Indications

AIDS

SyndrosTM is approved for anorexia associated with weight loss in patients with AIDS.

Oncology

SyndrosTM is approved for nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments.

Important Safety Information

Syndros may cause psychiatric and cognitive effects and impair mental and/or physical abilities. Patients with cardiac disorders may experience hypotension, hypertension, syncope, or tachycardia. Discontinue products containing disulfiram or metronidazole at least 14 days before and do not administer 7 days after treatment with Syndros (see Full Prescribing Information).

Weigh the potential risk versus benefits before prescribing SyndrosTM to patients with a history of seizures, including those requiring anti-epileptic medication or with other factors that lower the seizure threshold. Assess risk for abuse or misuse inpatients with a history of substance abuse or dependence, prior to prescribing SyndrosTM and monitor for the development of associated behaviors or conditions. Consider dose reduction or discontinuation, if worsening of symptoms of paradoxical nausea, vomiting, or abdominal pain worsen while on treatment.

To learn more about SyndrosTM, and its Important Safety Information, please contact INSYS Therapeutics, Inc. at 1-855-978-2797.

About Insys Therapeutics, Inc.

Insys Therapeutics is a specialty pharmaceutical company that develops and commercializes innovative drugs and novel drug delivery systems of therapeutic molecules that improve the quality of life of patients. Using proprietary sublingual spray technology and capabilities to develop pharmaceutical cannabinoids, Insys addresses the clinical shortcomings of existing commercial products. Insys currently markets one product, Subsys (fentanyl sublingual spray) but has received approval for the marketing of SyndrosTM (dronabinol oral solution), a proprietary, orally administered liquid formulation of dronabinol that Insys believes has distinct advantages over the current formulation of dronabinol in soft gel capsule. Insys is developing a pipeline of sublingual sprays, as well as pharmaceutical cannabidiol. Insys is committed to developing medications for potentially treating addiction to opioids, opioid overdose, epilepsy and other disease areas with high unmet need.

Subsys and SyndrosTM are trademarks of Insys Therapeutics, Inc.

Forward-Looking Statements

This press release contains forward-looking statements regarding: (i) our belief that Syndros will be an important new treatment option for certain patients, (ii) our belief that certain benefits of Syndros will be important differentiators for patients and prescribers, (iii) our belief that these benefits will be key drivers of a successful market launch and sustained growth and our expectations that that Syndros attractive and differentiated profile will enable rapid market conversion as well as increase Syndros usage; and (iv) our anticipated timing of the commercial launch of Syndros. These forward-looking statements are based on management's expectations and assumptions as of the date of this press release; actual results may differ materially from those in these forward-looking statements as a result of various factors, many of which are beyond our control. These factors include, but are not limited to risk factors described in our filings with the United States Securities and Exchange Commission, including those factors discussed under the caption ""Risk Factors"" in our Annual Report on Form 10-K for the year ended December 31, 2015 and subsequent updates that may occur in our Quarterly Reports on Form 10-Q. Forward-looking statements speak only as of the date of this press release and we undertake no obligation to publicly update or revise these statements, except as may be required by law.

Investor Contact: Lisa M. Wilson President In-Site Communications, Inc. 212-452-2793",Insys Therapeutics Announces FDA Approval of Syndros,2007-05-16,Insys Therapeutics,irrelevant,context,irrelevant,context/irrelevant,12,x

mixture,https://www.snopes.com/fact-check/trump-meals-on-wheels/,Did President Trump Announce Plans to End the Meals on Wheels Program?,Politics  Politicians,16-Mar-17,President Donald Trump has announced budget cuts that would end the Meals on Wheels program.,https://archive.is/NEfFD,3,TRUE,No Error,"Throughout his campaign for president and since his election, Donald Trump Throughout his campaign for president and since his election, Donald Trump has promised to reduce the size of government , cut taxes, eliminate regulations and slash numerous social programs, even as he boosts defense spending by billions.

His recently released budget proposal makes it clear hes going to follow through on those threats.

One popular program facing elimination is Meals On Wheels, which uses federal funds from the Department of Housing and Urban Development to mobilize volunteers, businesses and donors to provide nutrition to thousands of senior citizens on a daily basis. It supports over 5,000 community-based organizations across America, reaching people in both urban and rural areas.

The money for Meals On Wheels is part of the Older American Act, first passed in 1965 as part of LBJs Great Society, and endorsed by every president until Trump. The total cost, which includes other programs, is about The money for Meals On Wheels is part of the Older American Act, first passed in 1965 as part of LBJs Great Society, and endorsed by every president until Trump. The total cost, which includes other programs, is about $2 billion a year, which is less than the government hands out in fossil fuel subsidies every year.

